Rameau’s Nephew,Diderot Denis
The Nun,Diderot Denis
Democracy,Didion Joan
Play It As It Lays,Didion Joan
The Bitter Glass,Dillon Eilís
Out of Africa,Dinesen Isak
Berlin Alexanderplatz,Döblin Alfred
Ragtime,Doctorow E.L.
The Book of Daniel,Doctorow E.L.
Billy Bathgate,Doctorow E.L.
City of God,Doctorow E.L.
Stone Junction,Dodge Jim
Asphodel,Doolittle Hilda
U.S.A.,Dos Passos John
Manhattan Transfer,Dos Passos John
Crime and Punishment,Dostoevsky Fyodor
Notes from the Underground,Dostoevsky Fyodor
The Devils,Dostoevsky Fyodor
The Idiot,Dostoevsky Fyodor
The Brothers Karamazov,Dostoevsky Fyodor
Fool's Gold,Douka Maro
Uncle Petros and Goldbach's Conjecture,Doxiadis Apostolos
The Adventures of Sherlock Holmes,Doyle Arthur Conan
The Hound of the Baskervilles,Doyle Arthur Conan
The Radiant Way,Drabble Margaret
The Red Queen,Drabble Margaret
As If I Am Not There,Drakulic Slavenka
Sister Carrie,Dreiser Theodore
Rebecca,du Maurier Daphne
The Count of Monte-Cristo,Dumas Alexandre
The Three Musketeers,Dumas Alexandre
La Reine Margot,Dumas Alexandre
Hallucinating Foucault,Duncker Patricia
The Lover,Duras Marguerite
The Ravishing of Lol V. Stein,Duras Marguerite
The Vice-Consul,Duras Marguerite
Justine,Durrell Lawrence
The Judge and His Hangman,Dürrenmatt Friedrich
The Crime of Father Amaro,Eça de Queirós José Maria
A World for Julius,Echenique Alfredo Bryce
Foucault’s Pendulum,Eco Umberto
The Name of the Rose,Eco Umberto
Castle Rackrent,Edgeworth Maria
Ormond,Edgeworth Maria
The Absentee,Edgeworth Maria
A Visit from the Goon Squad,Egan Jennifer
Woman at Point Zero,El Saadawi Nawal
Adam Bede,Eliot George
Middlemarch,Eliot George
Silas Marner,Eliot George
The Mill on the Floss,Eliot George
Daniel Deronda,Eliot George
American Psycho,Ellis Bret Easton
Glamorama,Ellis Bret Easton
Less Than Zero,Ellis Bret Easton
Invisible Man,Ellison Ralph
The Black Dahlia,Ellroy James
Cheese,Elsschot Willem
Deep River,Endo Shusaku
Silence,Endo Shusaku
The Book about Blanche and Marie,Enquist Per Olov
The Gathering,Enright Anne
The Interesting Narrative,Equiano Olaudah
Love Medicine,Erdrich Louise
Moscow Stations,Erofeyev Venedikt
Like Water for Chocolate,Esquivel Laura
Celestial Harmonies,Esterházy Péter
The Virgin Suicides,Eugenides Jeffrey
Middlesex,Eugenides Jeffrey
The Marriage Plot,Eugenides Jeffrey
Under the Skin,Faber Michel
Astradeni,Fakinou Eugenia
The Siege of Krishnapur,Farrell J.G.
The Singapore Grip,Farrell J.G.
Troubles,Farrell J.G.
"Absalom, Absalom!",Faulkner William
"Go Down, Moses",Faulkner William
The Hamlet,Faulkner William
The Sound and the Fury,Faulkner William
Birdsong,Faulks Sebastian
Last of the Mohicans,Fenimore Cooper James
Troubling Love,Ferrante Elena
Joseph Andrews,Fielding Henry
Tom Jones,Fielding Henry
Amelia,Fielding Henry
The Wars,Findley Timothy
Tender is the Night,Fitzgerald F. Scott
The Great Gatsby,Fitzgerald F. Scott
Bouvard and Pécuchet,Flaubert Gustave
Madame Bovary,Flaubert Gustave
Sentimental Education,Flaubert Gustave
The Temptation of Saint Anthony,Flaubert Gustave
Casino Royale,Fleming Ian
Everything is Illuminated,Foer Jonathan Safran
Effi Briest,Fontane Theodor
The Stechlin,Fontane Theodor
Parade’s End,Ford Ford Madox
The Good Soldier,Ford Ford Madox
A Passage to India,Forster E.M.
A Room With a View,Forster E.M.
Howards End,Forster E.M.
Where Angels Fear to Tread,Forster E.M.
The French Lieutenant’s Woman,Fowles John
The Magus,Fowles John
A Maggot,Fowles John
The Collector,Fowles John
Faces in the Water,Frame Janet
Thais,France Anatole
The Blind Side of the Heart,Franck Julia
The Corrections,Franzen Jonathan
Freedom,Franzen Jonathan
Simon and the Oaks,Fredriksson Marianne
Hideous Kinky,Freud Esther
Homo Faber,Frisch Max
I’m Not Stiller,Frisch Max
The Death of Artemio Cruz,Fuentes Carlos
The Recognitions,Gaddis William
The Back Room,Gaite Carmen Martin
Memory of Fire,Galeano Eduardo
Mrs. ‘Arris Goes to Paris,Gallico Paul
The Trick is to Keep Breathing,Galloway Janice
The Forsyte Saga,Galsworthy John
Autumn of the Patriarch,García Márquez Gabriel
Love in the Time of Cholera,García Márquez Gabriel
One Hundred Years of Solitude,García Márquez Gabriel
No One Writes to the Colonel,García Márquez Gabriel
